run	year	tschg	area
1	0	50	787400
1	0	NA	1590300
1	1	1	9100
1	1	51	781700
1	1	NA	1586900
1	2	1	12600
1	2	2	8800
1	2	52	772300
1	2	NA	1584000
1	3	1	9400
1	3	2	12500
1	3	3	8800
1	3	53	765800
1	3	NA	1581200
1	4	1	38500
1	4	2	9200
1	4	3	11600
1	4	4	8400
1	4	54	738300
1	4	NA	1571700
1	5	1	6700
1	5	2	38100
1	5	3	9200
1	5	4	11500
1	5	5	8200
1	5	55	734000
1	5	NA	1570000
1	6	1	5400
1	6	2	6700
1	6	3	37700
1	6	4	9200
1	6	5	11200
1	6	6	8200
1	6	56	730800
1	6	NA	1568500
1	7	1	44800
1	7	2	5200
1	7	3	6300
1	7	4	34300
1	7	5	8800
1	7	6	10700
1	7	7	7000
1	7	57	701300
1	7	NA	1559300
1	8	1	400
1	8	2	44800
1	8	3	5200
1	8	4	6300
1	8	5	34300
1	8	6	8700
1	8	7	10700
1	8	8	7000
1	8	58	701100
1	8	NA	1559200
1	9	1	2000
1	9	2	400
1	9	3	44700
1	9	4	5200
1	9	5	6300
1	9	6	34300
1	9	7	8700
1	9	8	10700
1	9	9	7000
1	9	59	7e+05
1	9	NA	1558400
1	10	1	3200
1	10	2	2000
1	10	3	400
1	10	4	44600
1	10	5	5200
1	10	6	6300
1	10	7	34200
1	10	8	8700
1	10	9	10700
1	10	10	7000
1	10	60	697900
1	10	NA	1557500
1	11	1	2100
1	11	2	3200
1	11	3	1900
1	11	4	400
1	11	5	44600
1	11	6	5200
1	11	7	6300
1	11	8	34200
1	11	9	8600
1	11	10	10700
1	11	11	7000
1	11	61	696900
1	11	NA	1556600
1	12	1	1300
1	12	2	2100
1	12	3	3200
1	12	4	1900
1	12	5	400
1	12	6	44500
1	12	7	5200
1	12	8	6200
1	12	9	34100
1	12	10	8600
1	12	11	10700
1	12	12	7000
1	12	62	695900
1	12	NA	1556600
1	13	1	11100
1	13	2	1200
1	13	3	2100
1	13	4	3100
1	13	5	1900
1	13	6	400
1	13	7	44000
1	13	8	5100
1	13	9	6200
1	13	10	33800
1	13	11	8500
1	13	12	10600
1	13	13	7000
1	13	63	688900
1	13	NA	1553800
1	14	1	5000
1	14	2	11100
1	14	3	1200
1	14	4	2100
1	14	5	3100
1	14	6	1900
1	14	7	400
1	14	8	43900
1	14	9	4900
1	14	10	6200
1	14	11	33800
1	14	12	8400
1	14	13	10600
1	14	14	7000
1	14	64	686300
1	14	NA	1551800
1	15	1	10900
1	15	2	4900
1	15	3	10700
1	15	4	1200
1	15	5	2000
1	15	6	3100
1	15	7	1900
1	15	8	400
1	15	9	43000
1	15	10	4600
1	15	11	6200
1	15	12	33100
1	15	13	8400
1	15	14	10600
1	15	15	7000
1	15	65	680400
1	15	NA	1549300
1	16	1	12400
1	16	2	10800
1	16	3	4900
1	16	4	10700
1	16	5	1200
1	16	6	1800
1	16	7	3100
1	16	8	1800
1	16	9	400
1	16	10	42100
1	16	11	4400
1	16	12	6200
1	16	13	32500
1	16	14	8000
1	16	15	10300
1	16	16	6700
1	16	66	673100
1	16	NA	1547300
1	17	1	4000
1	17	2	12400
1	17	3	10800
1	17	4	4800
1	17	5	10700
1	17	6	1200
1	17	7	1800
1	17	8	3100
1	17	9	1800
1	17	10	400
1	17	11	42100
1	17	12	4400
1	17	13	6200
1	17	14	32400
1	17	15	7700
1	17	16	10300
1	17	17	6700
1	17	67	670900
1	17	NA	1546000
1	18	1	12500
1	18	2	4000
1	18	3	12200
1	18	4	10700
1	18	5	4800
1	18	6	10700
1	18	7	1200
1	18	8	1800
1	18	9	3100
1	18	10	1800
1	18	11	400
1	18	12	41700
1	18	13	4200
1	18	14	6200
1	18	15	32000
1	18	16	7700
1	18	17	10200
1	18	18	6700
1	18	68	663000
1	18	NA	1542800
1	19	1	25000
1	19	2	12100
1	19	3	3900
1	19	4	12200
1	19	5	10400
1	19	6	4800
1	19	7	10700
1	19	8	1200
1	19	9	1800
1	19	10	3000
1	19	11	1800
1	19	12	400
1	19	13	39300
1	19	14	4200
1	19	15	6100
1	19	16	30200
1	19	17	7600
1	19	18	10200
1	19	19	6500
1	19	69	649900
1	19	NA	1536400
1	20	1	3500
1	20	2	25000
1	20	3	12100
1	20	4	3900
1	20	5	12100
1	20	6	10400
1	20	7	4700
1	20	8	10700
1	20	9	1200
1	20	10	1800
1	20	11	3000
1	20	12	1800
1	20	13	400
1	20	14	38900
1	20	15	4200
1	20	16	6000
1	20	17	30000
1	20	18	7500
1	20	19	10200
1	20	20	6500
1	20	70	648200
1	20	NA	1535600
2	0	50	787400
2	0	NA	1590300
2	1	1	9100
2	1	51	780600
2	1	NA	1588000
2	2	1	7400
2	2	2	9000
2	2	52	776100
2	2	NA	1585200
2	3	1	10800
2	3	2	7400
2	3	3	8700
2	3	53	768300
2	3	NA	1582500
2	4	1	11300
2	4	2	10800
2	4	3	7400
2	4	4	8700
2	4	54	761200
2	4	NA	1578300
2	5	1	5600
2	5	2	11000
2	5	3	10600
2	5	4	7200
2	5	5	8600
2	5	55	758200
2	5	NA	1576500
2	6	1	7200
2	6	2	5400
2	6	3	11000
2	6	4	10400
2	6	5	7100
2	6	6	8600
2	6	56	754400
2	6	NA	1573600
2	7	1	10700
2	7	2	7200
2	7	3	5400
2	7	4	10900
2	7	5	10400
2	7	6	7100
2	7	7	8500
2	7	57	746800
2	7	NA	1570700
2	8	1	37100
2	8	2	10200
2	8	3	7200
2	8	4	5400
2	8	5	10600
2	8	6	10200
2	8	7	7100
2	8	8	7900
2	8	58	719900
2	8	NA	1562100
2	9	1	2700
2	9	2	36800
2	9	3	10100
2	9	4	7200
2	9	5	5400
2	9	6	10600
2	9	7	10200
2	9	8	7100
2	9	9	7900
2	9	59	718100
2	9	NA	1561600
2	10	1	4500
2	10	2	2700
2	10	3	36400
2	10	4	10100
2	10	5	7200
2	10	6	5400
2	10	7	10600
2	10	8	10200
2	10	9	7100
2	10	10	7900
2	10	60	715500
2	10	NA	1560100
2	11	1	9200
2	11	2	4500
2	11	3	2700
2	11	4	35900
2	11	5	10100
2	11	6	7000
2	11	7	5400
2	11	8	10600
2	11	9	10100
2	11	10	7000
