run	year	tschg	area
1	0	50	538300
1	0	NA	517100
1	1	1	6600
1	1	51	533200
1	1	NA	515600
1	2	1	8200
1	2	2	6600
1	2	52	526900
1	2	NA	513700
1	3	1	19900
1	3	2	8200
1	3	3	6500
1	3	53	512200
1	3	NA	508600
1	4	1	38100
1	4	2	19500
1	4	3	7700
1	4	4	6200
1	4	54	484500
1	4	NA	499400
1	5	1	5400
1	5	2	37700
1	5	3	19400
1	5	4	7600
1	5	5	5600
1	5	55	480900
1	5	NA	498800
1	6	1	7800
1	6	2	5300
1	6	3	37300
1	6	4	18600
1	6	5	7600
1	6	6	5500
1	6	56	476200
1	6	NA	497100
1	7	1	45900
1	7	2	7300
1	7	3	4300
1	7	4	33600
1	7	5	18300
1	7	6	7000
1	7	7	4600
1	7	57	445900
1	7	NA	488500
1	8	1	2500
1	8	2	45800
1	8	3	7300
1	8	4	4300
1	8	5	33600
1	8	6	18300
1	8	7	7000
1	8	8	4400
1	8	58	444100
1	8	NA	488100
1	9	1	4300
1	9	2	2500
1	9	3	45700
1	9	4	7300
1	9	5	4300
1	9	6	33500
1	9	7	18100
1	9	8	7000
1	9	9	4400
1	9	59	441700
1	9	NA	486600
1	10	1	5900
1	10	2	4200
1	10	3	2500
1	10	4	45200
1	10	5	7100
1	10	6	4300
1	10	7	33200
1	10	8	17900
1	10	9	6900
1	10	10	4400
1	10	60	438400
1	10	NA	485400
1	11	1	2300
1	11	2	5900
1	11	3	4200
1	11	4	2500
1	11	5	45200
1	11	6	7000
1	11	7	4300
1	11	8	33200
1	11	9	17900
1	11	10	6900
1	11	11	4400
1	11	61	437200
1	11	NA	484400
1	12	1	1300
1	12	2	2300
1	12	3	5900
1	12	4	4200
1	12	5	2500
1	12	6	45200
1	12	7	7000
1	12	8	4300
1	12	9	33200
1	12	10	17900
1	12	11	6900
1	12	12	4400
1	12	62	436200
1	12	NA	484100
1	13	1	11000
1	13	2	1300
1	13	3	2300
1	13	4	5800
1	13	5	4200
1	13	6	2500
1	13	7	43900
1	13	8	6900
1	13	9	4200
1	13	10	32600
1	13	11	17800
1	13	12	6800
1	13	13	4400
1	13	63	429900
1	13	NA	481800
1	14	1	5100
1	14	2	11000
1	14	3	1100
1	14	4	2300
1	14	5	5800
1	14	6	4200
1	14	7	2500
1	14	8	43800
1	14	9	6900
1	14	10	4200
1	14	11	32600
1	14	12	17500
1	14	13	6800
1	14	14	4400
1	14	64	426900
1	14	NA	480300
1	15	1	14200
1	15	2	5100
1	15	3	11000
1	15	4	1100
1	15	5	2300
1	15	6	5800
1	15	7	4200
1	15	8	2500
