run	year	region	lct	tschg	area
1	1	Biobío	oak	50	600
1	1	Biobío	oak	NA	600
1	1	Biobío	pine	50	0
1	1	Biobío	pine	NA	500
1	1	La Araucanía	oak	50	900
1	1	La Araucanía	oak	NA	1900
1	1	La Araucanía	pine	50	200
1	1	La Araucanía	pine	NA	400
1	1	Ñuble	oak	NA	0
1	1	Ñuble	pine	50	0
1	1	Ñuble	pine	NA	200
1	2	Biobío	oak	1	100
1	2	Biobío	oak	51	3100
1	2	Biobío	oak	NA	2700
1	2	Biobío	pine	1	0
1	2	Biobío	pine	51	1300
1	2	Biobío	pine	NA	3300
1	2	La Araucanía	oak	51	200
1	2	La Araucanía	oak	NA	700
1	2	La Araucanía	pine	51	0
1	2	La Araucanía	pine	NA	100
1	2	Ñuble	oak	NA	100
1	2	Ñuble	pine	51	200
1	2	Ñuble	pine	NA	0
1	3	Biobío	oak	1	100
1	3	Biobío	oak	2	0
1	3	Biobío	oak	52	14400
1	3	Biobío	oak	NA	14800
1	3	Biobío	pine	1	600
1	3	Biobío	pine	2	300
1	3	Biobío	pine	52	9600
1	3	Biobío	pine	NA	16800
1	3	La Araucanía	oak	2	100
1	3	La Araucanía	oak	52	3400
1	3	La Araucanía	oak	NA	2300
1	3	La Araucanía	pine	52	1600
1	3	La Araucanía	pine	NA	1100
1	3	Ñuble	oak	NA	500
1	3	Ñuble	pine	52	800
1	3	Ñuble	pine	NA	700
1	4	Biobío	oak	1	0
1	4	Biobío	oak	53	0
1	4	Biobío	oak	NA	300
1	4	Biobío	pine	53	0
1	4	Biobío	pine	NA	200
1	4	La Araucanía	oak	53	2000
1	4	La Araucanía	oak	NA	2700
1	4	La Araucanía	pine	53	400
1	4	La Araucanía	pine	NA	800
1	4	Ñuble	oak	53	100
1	4	Ñuble	oak	NA	100
1	4	Ñuble	pine	53	0
1	4	Ñuble	pine	NA	0
1	5	Biobío	oak	1	0
1	5	Biobío	oak	2	300
1	5	Biobío	oak	54	2900
1	5	Biobío	oak	NA	4200
1	5	Biobío	pine	2	1000
1	5	Biobío	pine	3	100
1	5	Biobío	pine	54	1800
1	5	Biobío	pine	NA	4200
1	5	La Araucanía	oak	54	200
1	5	La Araucanía	oak	NA	200
1	5	La Araucanía	pine	54	0
1	5	La Araucanía	pine	NA	0
1	6	Biobío	oak	1	300
1	6	Biobío	oak	3	700
1	6	Biobío	oak	4	100
1	6	Biobío	oak	5	100
1	6	Biobío	oak	55	4000
1	6	Biobío	oak	NA	6000
1	6	Biobío	pine	1	200
1	6	Biobío	pine	2	0
1	6	Biobío	pine	3	400
1	6	Biobío	pine	4	200
1	6	Biobío	pine	55	600
1	6	Biobío	pine	NA	4100
