run	year	region	lct	tschg	area
1	1	Biobío	oak	50	1400
1	1	Biobío	oak	NA	1100
1	1	Biobío	pine	50	600
1	1	Biobío	pine	NA	900
1	1	La Araucanía	oak	50	300
1	1	La Araucanía	oak	NA	200
1	1	La Araucanía	pine	50	100
1	1	La Araucanía	pine	NA	200
1	1	Ñuble	oak	50	200
1	1	Ñuble	pine	50	700
1	1	Ñuble	pine	NA	300
1	2	Biobío	oak	51	100
1	2	Biobío	oak	NA	100
1	2	Biobío	pine	51	100
1	2	Biobío	pine	NA	200
1	2	La Araucanía	oak	51	1600
1	2	La Araucanía	oak	NA	2400
1	2	La Araucanía	pine	51	500
1	2	La Araucanía	pine	NA	200
1	2	Ñuble	pine	51	200
1	2	Ñuble	pine	NA	100
1	3	Biobío	pine	52	100
1	3	La Araucanía	oak	1	100
1	3	La Araucanía	oak	52	100
1	3	La Araucanía	oak	NA	200
1	3	La Araucanía	pine	NA	100
1	3	Ñuble	pine	52	200
1	3	Ñuble	pine	NA	500
1	4	Biobío	oak	53	200
1	4	Biobío	oak	NA	100
1	4	Biobío	pine	53	200
1	4	Biobío	pine	NA	100
1	4	La Araucanía	oak	53	4600
1	4	La Araucanía	oak	NA	7600
1	4	La Araucanía	pine	53	2100
1	4	La Araucanía	pine	NA	1700
1	4	Ñuble	oak	53	100
1	4	Ñuble	oak	NA	100
1	4	Ñuble	pine	53	200
1	4	Ñuble	pine	NA	500
1	5	Biobío	oak	4	100
1	5	Biobío	oak	54	1500
1	5	Biobío	oak	NA	1100
1	5	Biobío	pine	54	800
1	5	Biobío	pine	NA	600
1	5	La Araucanía	oak	54	800
1	5	La Araucanía	oak	NA	1600
1	5	La Araucanía	pine	54	500
1	5	La Araucanía	pine	NA	200
1	5	Ñuble	oak	54	400
1	5	Ñuble	oak	NA	1000
1	5	Ñuble	pine	54	2800
1	5	Ñuble	pine	NA	3800
1	6	Biobío	oak	55	400
1	6	Biobío	oak	NA	400
1	6	Biobío	pine	55	400
1	6	Biobío	pine	NA	500
1	6	La Araucanía	oak	55	500
1	6	La Araucanía	oak	NA	1100
1	6	La Araucanía	pine	55	300
1	6	La Araucanía	pine	NA	400
1	6	Ñuble	pine	55	100
1	7	Biobío	oak	6	100
1	7	Biobío	oak	56	400
1	7	Biobío	oak	NA	800
1	7	Biobío	pine	56	300
1	7	Biobío	pine	NA	400
1	7	La Araucanía	oak	1	100
1	7	La Araucanía	oak	56	1000
1	7	La Araucanía	oak	NA	1100
1	7	La Araucanía	pine	2	100
1	7	La Araucanía	pine	56	500
1	7	La Araucanía	pine	NA	200
1	7	Ñuble	oak	56	600
1	7	Ñuble	oak	NA	1500
1	7	Ñuble	pine	2	200
1	7	Ñuble	pine	56	3300
1	7	Ñuble	pine	NA	2800
1	8	Biobío	pine	2	100
1	8	La Araucanía	oak	57	4800
1	8	La Araucanía	oak	NA	7600
1	8	La Araucanía	pine	4	300
1	8	La Araucanía	pine	57	2700
1	8	La Araucanía	pine	NA	2100
1	8	Ñuble	oak	57	700
1	8	Ñuble	oak	NA	1300
1	8	Ñuble	pine	1	400
1	8	Ñuble	pine	3	100
1	8	Ñuble	pine	57	2700
1	8	Ñuble	pine	NA	4700
1	9	Biobío	oak	58	400
1	9	Biobío	oak	NA	500
1	9	Biobío	pine	58	900
1	9	Biobío	pine	NA	400
1	9	La Araucanía	oak	NA	200
1	9	La Araucanía	pine	58	100
1	9	Ñuble	pine	4	100
1	9	Ñuble	pine	58	300
1	9	Ñuble	pine	NA	300
1	10	Biobío	oak	4	100
1	10	Biobío	oak	5	100
1	10	Biobío	oak	59	4700
1	10	Biobío	oak	NA	4200
1	10	Biobío	pine	59	5000
1	10	Biobío	pine	NA	3400
1	10	La Araucanía	oak	59	300
1	10	La Araucanía	oak	NA	500
1	10	Ñuble	oak	59	100
1	10	Ñuble	oak	NA	800
1	10	Ñuble	pine	3	100
1	10	Ñuble	pine	59	1400
1	10	Ñuble	pine	NA	1500
1	11	Biobío	oak	60	500
1	11	Biobío	oak	NA	200
1	11	Biobío	pine	1	100
1	11	Biobío	pine	60	400
1	11	Biobío	pine	NA	400
1	11	La Araucanía	oak	3	100
1	11	La Araucanía	oak	6	100
1	11	La Araucanía	oak	60	500
1	11	La Araucanía	oak	NA	500
1	11	La Araucanía	pine	60	100
1	11	La Araucanía	pine	NA	100
1	11	Ñuble	pine	60	200
1	11	Ñuble	pine	NA	100
