run	year	lct	area
1	0	crop	2043000
1	0	grass	222800
1	0	oak	2377700
1	0	pine	1055400
1	0	shrub	830800
1	0	urban	35700
1	0	water	443900
1	1	crop	2043000
1	1	grass	222800
1	1	oak	2377700
1	1	pine	1055400
1	1	shrub	830800
1	1	urban	35700
1	1	water	443900
1	2	crop	2043000
1	2	grass	222800
1	2	oak	2377700
1	2	pine	1055400
1	2	shrub	830800
1	2	urban	35700
1	2	water	443900
1	3	crop	2043000
1	3	grass	222800
1	3	oak	2377700
1	3	pine	1055400
1	3	shrub	830800
1	3	urban	35700
1	3	water	443900
1	4	crop	2043000
1	4	grass	222800
1	4	oak	2377700
1	4	pine	1055400
1	4	shrub	830800
1	4	urban	35700
1	4	water	443900
1	5	crop	2043000
1	5	grass	222800
1	5	oak	2377700
1	5	pine	1055400
1	5	shrub	830800
1	5	urban	35700
1	5	water	443900
1	6	crop	2043000
1	6	grass	222800
1	6	oak	2377700
1	6	pine	1055400
1	6	shrub	830800
1	6	urban	35700
1	6	water	443900
1	7	crop	2043000
1	7	grass	222800
1	7	oak	2377700
1	7	pine	1055400
1	7	shrub	830800
1	7	urban	35700
1	7	water	443900
1	8	crop	2043000
1	8	grass	222800
1	8	oak	2377700
1	8	pine	1055400
1	8	shrub	830800
1	8	urban	35700
1	8	water	443900
1	9	crop	2043000
1	9	grass	222800
1	9	oak	2377700
1	9	pine	1055400
1	9	shrub	830800
1	9	urban	35700
1	9	water	443900
1	10	crop	2043000
1	10	grass	222800
1	10	oak	2377700
1	10	pine	1055400
1	10	shrub	830800
1	10	urban	35700
1	10	water	443900
1	11	crop	2043000
1	11	grass	222800
1	11	oak	2377700
1	11	pine	1055400
1	11	shrub	830800
1	11	urban	35700
1	11	water	443900
1	12	crop	2043000
1	12	grass	222800
1	12	oak	2377700
1	12	pine	1055400
1	12	shrub	830800
1	12	urban	35700
1	12	water	443900
1	13	crop	2043000
1	13	grass	222800
1	13	oak	2377700
1	13	pine	1055400
1	13	shrub	830800
1	13	urban	35700
1	13	water	443900
1	14	crop	2043000
1	14	grass	222800
1	14	oak	2377700
1	14	pine	1055400
1	14	shrub	830800
1	14	urban	35700
1	14	water	443900
1	15	crop	2043000
1	15	grass	222800
1	15	oak	2377700
1	15	pine	1055400
1	15	shrub	830800
1	15	urban	35700
1	15	water	443900
1	16	crop	2043000
1	16	grass	222800
1	16	oak	2377700
1	16	pine	1055400
1	16	shrub	830800
1	16	urban	35700
1	16	water	443900
1	17	crop	2043000
1	17	grass	222800
1	17	oak	2377700
1	17	pine	1055400
1	17	shrub	830800
1	17	urban	35700
1	17	water	443900
1	18	crop	2043000
1	18	grass	222800
1	18	oak	2377700
1	18	pine	1055400
1	18	shrub	830800
1	18	urban	35700
1	18	water	443900
1	19	crop	2043000
1	19	grass	222800
1	19	oak	2377700
1	19	pine	1055400
1	19	shrub	830800
1	19	urban	35700
1	19	water	443900
1	20	crop	2043000
1	20	grass	222800
1	20	oak	2377700
1	20	pine	1055400
1	20	shrub	830800
1	20	urban	35700
1	20	water	443900
2	0	crop	2043000
2	0	grass	222800
2	0	oak	2377700
2	0	pine	1055400
2	0	shrub	830800
2	0	urban	35700
2	0	water	443900
2	1	crop	2043000
2	1	grass	222800
2	1	oak	2377700
2	1	pine	1055400
2	1	shrub	830800
2	1	urban	35700
2	1	water	443900
2	2	crop	2043000
2	2	grass	222800
2	2	oak	2377700
2	2	pine	1055400
2	2	shrub	830800
2	2	urban	35700
2	2	water	443900
2	3	crop	2043000
2	3	grass	222800
2	3	oak	2377700
2	3	pine	1055400
2	3	shrub	830800
2	3	urban	35700
2	3	water	443900
2	4	crop	2043000
2	4	grass	222800
2	4	oak	2377700
2	4	pine	1055400
2	4	shrub	830800
2	4	urban	35700
2	4	water	443900
2	5	crop	2043000
2	5	grass	222800
2	5	oak	2377700
2	5	pine	1055400
2	5	shrub	830800
2	5	urban	35700
2	5	water	443900
2	6	crop	2043000
2	6	grass	222800
2	6	oak	2377700
2	6	pine	1055400
2	6	shrub	830800
2	6	urban	35700
2	6	water	443900
2	7	crop	2043000
2	7	grass	222800
2	7	oak	2377700
2	7	pine	1055400
2	7	shrub	830800
2	7	urban	35700
2	7	water	443900
2	8	crop	2043000
2	8	grass	222800
2	8	oak	2377700
2	8	pine	1055400
2	8	shrub	830800
2	8	urban	35700
2	8	water	443900
2	9	crop	2043000
2	9	grass	222800
2	9	oak	2377700
2	9	pine	1055400
2	9	shrub	830800
2	9	urban	35700
2	9	water	443900
2	10	crop	2043000
2	10	grass	222800
2	10	oak	2377700
2	10	pine	1055400
2	10	shrub	830800
2	10	urban	35700
2	10	water	443900
2	11	crop	2043000
2	11	grass	222800
2	11	oak	2377700
2	11	pine	1055400
2	11	shrub	830800
2	11	urban	35700
2	11	water	443900
2	12	crop	2043000
2	12	grass	222800
2	12	oak	2377700
2	12	pine	1055400
2	12	shrub	830800
2	12	urban	35700
2	12	water	443900
2	13	crop	2043000
2	13	grass	222800
2	13	oak	2377700
2	13	pine	1055400
2	13	shrub	830800
2	13	urban	35700
2	13	water	443900
2	14	crop	2043000
2	14	grass	222800
2	14	oak	2377700
2	14	pine	1055400
2	14	shrub	830800
2	14	urban	35700
2	14	water	443900
2	15	crop	2043000
2	15	grass	222800
2	15	oak	2377700
2	15	pine	1055400
2	15	shrub	830800
2	15	urban	35700
2	15	water	443900
2	16	crop	2043000
2	16	grass	222800
2	16	oak	2377700
2	16	pine	1055400
2	16	shrub	830800
2	16	urban	35700
2	16	water	443900
2	17	crop	2043000
2	17	grass	222800
2	17	oak	2377700
2	17	pine	1055400
2	17	shrub	830800
2	17	urban	35700
2	17	water	443900
2	18	crop	2043000
2	18	grass	222800
2	18	oak	2377700
2	18	pine	1055400
2	18	shrub	830800
2	18	urban	35700
2	18	water	443900
2	19	crop	2043000
2	19	grass	222800
2	19	oak	2377700
2	19	pine	1055400
2	19	shrub	830800
2	19	urban	35700
2	19	water	443900
2	20	crop	2043000
2	20	grass	222800
2	20	oak	2377700
2	20	pine	1055400
2	20	shrub	830800
2	20	urban	35700
2	20	water	443900
3	0	crop	2043000
3	0	grass	222800
3	0	oak	2377700
3	0	pine	1055400
3	0	shrub	830800
3	0	urban	35700
3	0	water	443900
3	1	crop	2043000
3	1	grass	222800
3	1	oak	2377700
3	1	pine	1055400
3	1	shrub	830800
3	1	urban	35700
3	1	water	443900
3	2	crop	2043000
3	2	grass	222800
3	2	oak	2377700
3	2	pine	1055400
3	2	shrub	830800
3	2	urban	35700
3	2	water	443900
3	3	crop	2043000
3	3	grass	222800
3	3	oak	2377700
3	3	pine	1055400
3	3	shrub	830800
3	3	urban	35700
3	3	water	443900
3	4	crop	2043000
3	4	grass	222800
3	4	oak	2377700
3	4	pine	1055400
3	4	shrub	830800
3	4	urban	35700
3	4	water	443900
3	5	crop	2043000
3	5	grass	222800
3	5	oak	2377700
3	5	pine	1055400
3	5	shrub	830800
3	5	urban	35700
3	5	water	443900
3	6	crop	2043000
3	6	grass	222800
3	6	oak	2377700
3	6	pine	1055400
3	6	shrub	830800
3	6	urban	35700
3	6	water	443900
3	7	crop	2043000
3	7	grass	222800
3	7	oak	2377700
3	7	pine	1055400
3	7	shrub	830800
3	7	urban	35700
3	7	water	443900
3	8	crop	2043000
3	8	grass	222800
3	8	oak	2377700
3	8	pine	1055400
3	8	shrub	830800
3	8	urban	35700
3	8	water	443900
3	9	crop	2043000
3	9	grass	222800
3	9	oak	2377700
3	9	pine	1055400
3	9	shrub	830800
3	9	urban	35700
3	9	water	443900
3	10	crop	2043000
3	10	grass	222800
3	10	oak	2377700
3	10	pine	1055400
3	10	shrub	830800
3	10	urban	35700
3	10	water	443900
3	11	crop	2043000
3	11	grass	222800
3	11	oak	2377700
3	11	pine	1055400
3	11	shrub	830800
3	11	urban	35700
3	11	water	443900
3	12	crop	2043000
3	12	grass	222800
3	12	oak	2377700
3	12	pine	1055400
3	12	shrub	830800
3	12	urban	35700
3	12	water	443900
3	13	crop	2043000
3	13	grass	222800
3	13	oak	2377700
3	13	pine	1055400
3	13	shrub	830800
3	13	urban	35700
3	13	water	443900
3	14	crop	2043000
3	14	grass	222800
3	14	oak	2377700
3	14	pine	1055400
3	14	shrub	830800
3	14	urban	35700
3	14	water	443900
3	15	crop	2043000
3	15	grass	222800
3	15	oak	2377700
3	15	pine	1055400
3	15	shrub	830800
3	15	urban	35700
3	15	water	443900
3	16	crop	2043000
3	16	grass	222800
3	16	oak	2377700
3	16	pine	1055400
3	16	shrub	830800
3	16	urban	35700
3	16	water	443900
3	17	crop	2043000
3	17	grass	222800
3	17	oak	2377700
3	17	pine	1055400
3	17	shrub	830800
3	17	urban	35700
3	17	water	443900
3	18	crop	2043000
3	18	grass	222800
3	18	oak	2377700
3	18	pine	1055400
3	18	shrub	830800
3	18	urban	35700
3	18	water	443900
3	19	crop	2043000
3	19	grass	222800
3	19	oak	2377700
3	19	pine	1055400
3	19	shrub	830800
3	19	urban	35700
3	19	water	443900
3	20	crop	2043000
3	20	grass	222800
3	20	oak	2377700
3	20	pine	1055400
3	20	shrub	830800
3	20	urban	35700
3	20	water	443900
4	0	crop	2043000
4	0	grass	222800
4	0	oak	2377700
4	0	pine	1055400
4	0	shrub	830800
4	0	urban	35700
4	0	water	443900
4	1	crop	2043000
4	1	grass	222800
4	1	oak	2377700
4	1	pine	1055400
4	1	shrub	830800
4	1	urban	35700
4	1	water	443900
4	2	crop	2043000
4	2	grass	222800
4	2	oak	2377700
4	2	pine	1055400
4	2	shrub	830800
4	2	urban	35700
4	2	water	443900
4	3	crop	2043000
4	3	grass	222800
4	3	oak	2377700
4	3	pine	1055400
4	3	shrub	830800
4	3	urban	35700
4	3	water	443900
4	4	crop	2043000
4	4	grass	222800
4	4	oak	2377700
4	4	pine	1055400
4	4	shrub	830800
4	4	urban	35700
4	4	water	443900
4	5	crop	2043000
4	5	grass	222800
4	5	oak	2377700
4	5	pine	1055400
4	5	shrub	830800
4	5	urban	35700
4	5	water	443900
4	6	crop	2043000
4	6	grass	222800
4	6	oak	2377700
4	6	pine	1055400
4	6	shrub	830800
4	6	urban	35700
4	6	water	443900
4	7	crop	2043000
4	7	grass	222800
4	7	oak	2377700
4	7	pine	1055400
4	7	shrub	830800
4	7	urban	35700
4	7	water	443900
4	8	crop	2043000
4	8	grass	222800
4	8	oak	2377700
4	8	pine	1055400
4	8	shrub	830800
4	8	urban	35700
4	8	water	443900
4	9	crop	2043000
4	9	grass	222800
4	9	oak	2377700
4	9	pine	1055400
4	9	shrub	830800
4	9	urban	35700
4	9	water	443900
4	10	crop	2043000
4	10	grass	222800
4	10	oak	2377700
4	10	pine	1055400
4	10	shrub	830800
4	10	urban	35700
4	10	water	443900
4	11	crop	2043000
4	11	grass	222800
4	11	oak	2377700
4	11	pine	1055400
4	11	shrub	830800
4	11	urban	35700
4	11	water	443900
4	12	crop	2043000
4	12	grass	222800
4	12	oak	2377700
4	12	pine	1055400
4	12	shrub	830800
4	12	urban	35700
4	12	water	443900
4	13	crop	2043000
4	13	grass	222800
4	13	oak	2377700
4	13	pine	1055400
4	13	shrub	830800
4	13	urban	35700
4	13	water	443900
4	14	crop	2043000
4	14	grass	222800
4	14	oak	2377700
4	14	pine	1055400
4	14	shrub	830800
4	14	urban	35700
4	14	water	443900
4	15	crop	2043000
4	15	grass	222800
4	15	oak	2377700
4	15	pine	1055400
4	15	shrub	830800
4	15	urban	35700
4	15	water	443900
4	16	crop	2043000
4	16	grass	222800
4	16	oak	2377700
4	16	pine	1055400
4	16	shrub	830800
4	16	urban	35700
4	16	water	443900
4	17	crop	2043000
4	17	grass	222800
4	17	oak	2377700
4	17	pine	1055400
4	17	shrub	830800
4	17	urban	35700
4	17	water	443900
4	18	crop	2043000
4	18	grass	222800
4	18	oak	2377700
4	18	pine	1055400
4	18	shrub	830800
4	18	urban	35700
4	18	water	443900
4	19	crop	2043000
4	19	grass	222800
4	19	oak	2377700
4	19	pine	1055400
4	19	shrub	830800
4	19	urban	35700
4	19	water	443900
4	20	crop	2043000
4	20	grass	222800
4	20	oak	2377700
4	20	pine	1055400
4	20	shrub	830800
4	20	urban	35700
4	20	water	443900
5	0	crop	2043000
5	0	grass	222800
5	0	oak	2377700
5	0	pine	1055400
5	0	shrub	830800
5	0	urban	35700
5	0	water	443900
5	1	crop	2043000
5	1	grass	222800
5	1	oak	2377700
5	1	pine	1055400
5	1	shrub	830800
5	1	urban	35700
5	1	water	443900
5	2	crop	2043000
5	2	grass	222800
5	2	oak	2377700
5	2	pine	1055400
5	2	shrub	830800
5	2	urban	35700
5	2	water	443900
5	3	crop	2043000
5	3	grass	222800
5	3	oak	2377700
5	3	pine	1055400
5	3	shrub	830800
5	3	urban	35700
5	3	water	443900
5	4	crop	2043000
5	4	grass	222800
5	4	oak	2377700
5	4	pine	1055400
5	4	shrub	830800
5	4	urban	35700
5	4	water	443900
5	5	crop	2043000
5	5	grass	222800
5	5	oak	2377700
5	5	pine	1055400
5	5	shrub	830800
5	5	urban	35700
5	5	water	443900
5	6	crop	2043000
5	6	grass	222800
5	6	oak	2377700
5	6	pine	1055400
5	6	shrub	830800
5	6	urban	35700
5	6	water	443900
5	7	crop	2043000
5	7	grass	222800
5	7	oak	2377700
5	7	pine	1055400
5	7	shrub	830800
5	7	urban	35700
5	7	water	443900
5	8	crop	2043000
5	8	grass	222800
5	8	oak	2377700
5	8	pine	1055400
5	8	shrub	830800
5	8	urban	35700
5	8	water	443900
5	9	crop	2043000
5	9	grass	222800
5	9	oak	2377700
5	9	pine	1055400
5	9	shrub	830800
5	9	urban	35700
5	9	water	443900
5	10	crop	2043000
5	10	grass	222800
5	10	oak	2377700
5	10	pine	1055400
5	10	shrub	830800
5	10	urban	35700
5	10	water	443900
5	11	crop	2043000
5	11	grass	222800
5	11	oak	2377700
5	11	pine	1055400
5	11	shrub	830800
5	11	urban	35700
5	11	water	443900
5	12	crop	2043000
5	12	grass	222800
5	12	oak	2377700
5	12	pine	1055400
5	12	shrub	830800
5	12	urban	35700
5	12	water	443900
5	13	crop	2043000
5	13	grass	222800
5	13	oak	2377700
5	13	pine	1055400
5	13	shrub	830800
5	13	urban	35700
5	13	water	443900
5	14	crop	2043000
5	14	grass	222800
5	14	oak	2377700
5	14	pine	1055400
5	14	shrub	830800
5	14	urban	35700
5	14	water	443900
5	15	crop	2043000
5	15	grass	222800
5	15	oak	2377700
5	15	pine	1055400
5	15	shrub	830800
5	15	urban	35700
5	15	water	443900
5	16	crop	2043000
5	16	grass	222800
5	16	oak	2377700
5	16	pine	1055400
5	16	shrub	830800
5	16	urban	35700
5	16	water	443900
5	17	crop	2043000
5	17	grass	222800
5	17	oak	2377700
5	17	pine	1055400
5	17	shrub	830800
5	17	urban	35700
5	17	water	443900
5	18	crop	2043000
5	18	grass	222800
5	18	oak	2377700
5	18	pine	1055400
5	18	shrub	830800
5	18	urban	35700
5	18	water	443900
5	19	crop	2043000
5	19	grass	222800
5	19	oak	2377700
5	19	pine	1055400
5	19	shrub	830800
5	19	urban	35700
5	19	water	443900
5	20	crop	2043000
5	20	grass	222800
5	20	oak	2377700
5	20	pine	1055400
5	20	shrub	830800
5	20	urban	35700
5	20	water	443900
6	0	crop	2043000
6	0	grass	222800
6	0	oak	2377700
6	0	pine	1055400
6	0	shrub	830800
6	0	urban	35700
6	0	water	443900
6	1	crop	2043000
6	1	grass	222800
6	1	oak	2377700
6	1	pine	1055400
6	1	shrub	830800
6	1	urban	35700
6	1	water	443900
6	2	crop	2043000
6	2	grass	222800
6	2	oak	2377700
6	2	pine	1055400
6	2	shrub	830800
6	2	urban	35700
6	2	water	443900
6	3	crop	2043000
6	3	grass	222800
6	3	oak	2377700
6	3	pine	1055400
6	3	shrub	830800
6	3	urban	35700
6	3	water	443900
6	4	crop	2043000
6	4	grass	222800
6	4	oak	2377700
6	4	pine	1055400
6	4	shrub	830800
6	4	urban	35700
6	4	water	443900
6	5	crop	2043000
6	5	grass	222800
6	5	oak	2377700
6	5	pine	1055400
6	5	shrub	830800
6	5	urban	35700
6	5	water	443900
6	6	crop	2043000
6	6	grass	222800
6	6	oak	2377700
