run	year	region	lct	target	burnt	supp
1	1	Biobío	crop	5800	1300	4500
1	1	Biobío	grass	900	0	900
1	1	Biobío	oak	17200	2500	14700
1	1	Biobío	pine	10700	1500	9200
1	1	Biobío	shrub	900	600	300
1	1	La Araucanía	crop	5300	1500	3800
1	1	La Araucanía	grass	1600	100	1500
1	1	La Araucanía	oak	3200	500	2700
1	1	La Araucanía	pine	900	300	600
1	1	La Araucanía	shrub	300	200	100
1	1	Ñuble	crop	3100	1200	1900
1	1	Ñuble	oak	500	200	300
1	1	Ñuble	pine	1200	1000	200
1	1	Ñuble	shrub	500	200	300
1	2	Biobío	crop	300	200	100
1	2	Biobío	oak	500	200	300
1	2	Biobío	pine	500	300	200
1	2	La Araucanía	crop	15100	6100	9000
1	2	La Araucanía	grass	1000	500	500
1	2	La Araucanía	oak	10500	4000	6500
1	2	La Araucanía	pine	2900	700	2200
1	2	La Araucanía	shrub	600	300	300
1	2	Ñuble	crop	1200	700	500
1	2	Ñuble	pine	300	300	0
1	2	Ñuble	shrub	200	100	100
1	3	Biobío	crop	900	100	800
1	3	Biobío	oak	100	0	100
1	3	Biobío	pine	100	100	0
1	3	Biobío	shrub	100	100	0
1	3	La Araucanía	crop	800	100	700
1	3	La Araucanía	grass	200	100	100
1	3	La Araucanía	oak	800	400	400
1	3	La Araucanía	pine	100	100	0
1	3	Ñuble	crop	3200	1300	1900
1	3	Ñuble	oak	1000	0	1000
1	3	Ñuble	pine	1800	700	1100
1	4	Biobío	crop	500	300	200
1	4	Biobío	oak	3300	300	3000
1	4	Biobío	pine	1000	300	700
1	4	La Araucanía	crop	47900	15700	32200
1	4	La Araucanía	grass	4600	2200	2400
1	4	La Araucanía	oak	23000	12200	10800
1	4	La Araucanía	pine	8800	3800	5000
1	4	La Araucanía	shrub	2700	1100	1600
1	4	Ñuble	crop	7000	900	6100
1	4	Ñuble	grass	100	0	100
1	4	Ñuble	oak	2000	200	1800
1	4	Ñuble	pine	5300	700	4600
1	4	Ñuble	shrub	4800	300	4500
1	5	Biobío	crop	5200	1500	3700
1	5	Biobío	oak	6400	2700	3700
1	5	Biobío	pine	4900	1400	3500
1	5	Biobío	shrub	700	300	400
1	5	La Araucanía	crop	5600	3500	2100
1	5	La Araucanía	grass	400	300	100
1	5	La Araucanía	oak	3700	2400	1300
1	5	La Araucanía	pine	1600	700	900
1	5	La Araucanía	shrub	800	300	500
1	5	Ñuble	crop	51700	12000	39700
1	5	Ñuble	oak	2300	1400	900
1	5	Ñuble	pine	18800	6600	12200
1	5	Ñuble	shrub	9700	1800	7900
1	6	Biobío	crop	2100	1100	1000
1	6	Biobío	grass	100	0	100
1	6	Biobío	oak	2300	800	1500
1	6	Biobío	pine	4700	900	3800
1	6	Biobío	shrub	600	300	300
1	6	La Araucanía	crop	7700	4000	3700
1	6	La Araucanía	grass	200	100	100
1	6	La Araucanía	oak	2700	1600	1100
1	6	La Araucanía	pine	1800	700	1100
1	6	La Araucanía	shrub	400	300	100
1	6	Ñuble	crop	800	100	700
1	6	Ñuble	pine	100	100	0
1	7	Biobío	crop	2100	700	1400
1	7	Biobío	oak	3700	1300	2400
1	7	Biobío	pine	3300	700	2600
1	7	Biobío	shrub	400	0	400
1	7	La Araucanía	crop	9700	4100	5600
1	7	La Araucanía	grass	800	300	500
1	7	La Araucanía	oak	2800	2200	600
1	7	La Araucanía	pine	2000	800	1200
1	7	La Araucanía	shrub	200	100	100
1	7	Ñuble	crop	36100	13000	23100
1	7	Ñuble	oak	4700	2100	2600
1	7	Ñuble	pine	14900	6300	8600
1	7	Ñuble	shrub	7100	3000	4100
1	8	Biobío	crop	700	0	700
1	8	Biobío	oak	1200	0	1200
1	8	Biobío	pine	3300	100	3200
1	8	La Araucanía	crop	40700	19300	21400
1	8	La Araucanía	grass	3200	2300	900
1	8	La Araucanía	oak	26800	12400	14400
1	8	La Araucanía	pine	12900	5100	7800
1	8	La Araucanía	shrub	3100	1600	1500
1	8	Ñuble	crop	42400	15300	27100
1	8	Ñuble	oak	7500	2000	5500
1	8	Ñuble	pine	19700	7900	11800
1	8	Ñuble	shrub	11200	3200	8000
1	9	Biobío	crop	4500	1400	3100
1	9	Biobío	grass	200	0	200
1	9	Biobío	oak	2400	900	1500
1	9	Biobío	pine	3200	1300	1900
1	9	Biobío	shrub	100	100	0
1	9	La Araucanía	crop	1600	700	900
1	9	La Araucanía	oak	200	200	0
1	9	La Araucanía	pine	400	100	300
1	9	La Araucanía	shrub	100	100	0
1	9	Ñuble	crop	800	600	200
1	9	Ñuble	pine	1800	700	1100
1	9	Ñuble	shrub	100	100	0
1	10	Biobío	crop	29100	8400	20700
1	10	Biobío	grass	1100	500	600
1	10	Biobío	oak	35900	9100	26800
1	10	Biobío	pine	28200	8400	19800
1	10	Biobío	shrub	6500	1400	5100
1	10	La Araucanía	crop	1600	800	800
1	10	La Araucanía	grass	500	0	500
1	10	La Araucanía	oak	1700	800	900
1	10	La Araucanía	pine	300	0	300
1	10	La Araucanía	shrub	300	0	300
1	10	Ñuble	crop	15800	6100	9700
1	10	Ñuble	oak	2600	900	1700
1	10	Ñuble	pine	6700	3000	3700
1	10	Ñuble	shrub	2500	1600	900
1	11	Biobío	crop	2800	700	2100
1	11	Biobío	oak	2200	700	1500
1	11	Biobío	pine	1800	900	900
1	11	Biobío	shrub	300	100	200
1	11	La Araucanía	crop	4000	1200	2800
1	11	La Araucanía	grass	800	0	800
1	11	La Araucanía	oak	3000	1200	1800
1	11	La Araucanía	pine	800	200	600
1	11	La Araucanía	shrub	300	200	100
1	11	Ñuble	crop	2500	900	1600
1	11	Ñuble	pine	600	300	300
1	11	Ñuble	shrub	100	100	0
1	12	Biobío	crop	15800	4600	11200
1	12	Biobío	grass	1000	300	700
1	12	Biobío	oak	19600	6400	13200
1	12	Biobío	pine	18300	4600	13700
1	12	Biobío	shrub	3800	1100	2700
1	12	La Araucanía	crop	6600	2800	3800
1	12	La Araucanía	grass	300	100	200
1	12	La Araucanía	oak	3900	2000	1900
1	12	La Araucanía	pine	1300	800	500
1	12	La Araucanía	shrub	600	300	300
1	12	Ñuble	crop	6000	200	5800
1	12	Ñuble	oak	100	100	0
1	12	Ñuble	pine	1500	200	1300
1	12	Ñuble	shrub	1600	100	1500
1	13	Biobío	crop	11500	2800	8700
1	13	Biobío	grass	300	300	0
1	13	Biobío	oak	14300	3100	11200
1	13	Biobío	pine	13300	3400	9900
1	13	Biobío	shrub	1300	500	800
1	13	La Araucanía	crop	1900	1500	400
1	13	La Araucanía	grass	100	100	0
1	13	La Araucanía	oak	1200	800	400
1	13	La Araucanía	pine	500	0	500
1	13	Ñuble	crop	58200	11800	46400
1	13	Ñuble	grass	100	0	100
1	13	Ñuble	oak	2200	1000	1200
