run	year	tschg	area
1	1	51	536900
1	1	NA	515700
1	2	2	2800
1	2	52	536100
1	2	NA	515200
1	3	2	1300
1	3	3	2800
1	3	53	535800
1	3	NA	514600
1	4	2	900
1	4	3	1300
1	4	4	2800
1	4	54	533300
1	4	NA	512300
1	5	2	4800
1	5	3	900
1	5	4	1300
1	5	5	2800
1	5	55	529200
1	5	NA	507700
1	6	2	8700
1	6	3	4800
1	6	4	900
1	6	5	1300
1	6	6	2800
1	6	56	528400
1	6	NA	506800
1	7	2	1700
1	7	3	8400
1	7	4	4800
1	7	5	900
1	7	6	1300
1	7	7	2800
1	7	57	524300
1	7	NA	503400
1	8	2	7400
1	8	3	1600
1	8	4	8300
1	8	5	4500
1	8	6	900
1	8	7	1300
1	8	8	2800
1	8	58	518900
1	8	NA	496600
1	9	2	13100
1	9	3	7400
1	9	4	1600
1	9	5	8200
1	9	6	4500
1	9	7	900
1	9	8	1300
1	9	9	2800
1	9	59	517600
1	9	NA	495900
1	10	2	2100
1	10	3	13100
1	10	4	7300
1	10	5	1600
1	10	6	8200
1	10	7	4500
1	10	8	900
1	10	9	1300
1	10	10	2800
1	10	60	511200
1	10	NA	491000
1	11	2	11300
1	11	3	2100
1	11	4	13100
1	11	5	7300
1	11	6	1600
1	11	7	8200
1	11	8	4500
1	11	9	900
1	11	10	1300
1	11	11	2800
1	11	61	510500
1	11	NA	490400
1	12	2	1400
1	12	3	11300
1	12	4	2100
1	12	5	13100
1	12	6	7300
1	12	7	1600
1	12	8	8200
1	12	9	4400
1	12	10	900
1	12	11	1300
1	12	12	2800
1	12	62	507300
1	12	NA	488100
1	13	2	5600
1	13	3	1400
1	13	4	11200
1	13	5	2100
1	13	6	12900
1	13	7	7200
1	13	8	1500
1	13	9	8000
1	13	10	4400
1	13	11	900
1	13	12	1300
1	13	13	2800
1	13	63	502500
1	13	NA	483600
1	14	2	9900
1	14	3	5500
1	14	4	1400
1	14	5	11000
1	14	6	2100
1	14	7	12800
1	14	8	7200
1	14	9	1500
1	14	10	8000
1	14	11	4400
1	14	12	900
1	14	13	1300
1	14	14	2800
1	14	64	499500
1	14	NA	480800
1	15	2	6200
1	15	3	9700
1	15	4	5500
1	15	5	1400
1	15	6	10800
1	15	7	2100
1	15	8	12500
1	15	9	7100
1	15	10	1500
1	15	11	7800
1	15	12	4400
1	15	13	900
1	15	14	1300
1	15	15	2700
1	15	65	492000
1	15	NA	473500
1	16	2	16000
1	16	3	6200
1	16	4	9700
1	16	5	5500
1	16	6	1400
1	16	7	10800
1	16	8	2100
1	16	9	12500
1	16	10	7100
1	16	11	1500
1	16	12	7800
1	16	13	4400
1	16	14	900
1	16	15	1300
1	16	16	2700
1	16	66	490600
1	16	NA	473200
1	17	2	1700
1	17	3	16000
1	17	4	6100
1	17	5	9700
1	17	6	5500
1	17	7	1400
1	17	8	10700
1	17	9	2100
1	17	10	12500
1	17	11	7100
1	17	12	1500
1	17	13	7800
1	17	14	4400
1	17	15	900
1	17	16	1300
1	17	17	2700
1	17	67	489400
1	17	NA	472000
1	18	2	2600
1	18	3	1700
1	18	4	16000
1	18	5	6100
1	18	6	9700
1	18	7	5500
1	18	8	1400
1	18	9	10700
1	18	10	2100
1	18	11	12100
1	18	12	7100
1	18	13	1500
1	18	14	7700
1	18	15	4400
1	18	16	900
1	18	17	1300
1	18	18	2700
1	18	68	488300
1	18	NA	471200
1	19	2	2400
1	19	3	2600
1	19	4	1700
1	19	5	15700
1	19	6	6100
1	19	7	9600
1	19	8	5400
1	19	9	1400
1	19	10	10700
1	19	11	2000
1	19	12	11900
1	19	13	7100
1	19	14	1500
1	19	15	7600
1	19	16	4400
1	19	17	900
1	19	18	1300
1	19	19	2700
1	19	69	485000
1	19	NA	468300
1	20	2	7100
1	20	3	2400
1	20	4	2600
1	20	5	1700
1	20	6	15700
1	20	7	6100
1	20	8	9600
1	20	9	5400
1	20	10	1400
1	20	11	10700
1	20	12	2000
1	20	13	11900
1	20	14	7100
1	20	15	1500
1	20	16	7600
1	20	17	4400
1	20	18	800
1	20	19	1300
1	20	20	2700
1	20	70	484700
1	20	NA	467800
2	1	51	537300
2	1	NA	516600
2	2	2	1500
2	2	52	533700
2	2	NA	513700
2	3	2	6500
2	3	3	1500
2	3	53	529500
2	3	NA	511000
2	4	2	6900
2	4	3	6500
2	4	4	1500
2	4	54	528000
2	4	NA	510100
2	5	2	2400
2	5	3	6900
2	5	4	6500
2	5	5	1500
2	5	55	526200
2	5	NA	509000
2	6	2	2900
2	6	3	2400
2	6	4	6800
2	6	5	6500
2	6	6	1400
2	6	56	523500
2	6	NA	506300
2	7	2	5600
2	7	3	2900
2	7	4	2400
2	7	5	6800
2	7	6	6500
2	7	7	1400
2	7	57	521700
2	7	NA	503900
2	8	2	4200
2	8	3	5600
2	8	4	2900
2	8	5	2400
2	8	6	6800
2	8	7	6500
2	8	8	1400
2	8	58	520500
2	8	NA	503100
2	9	2	2000
2	9	3	4200
2	9	4	5600
2	9	5	2900
2	9	6	2400
2	9	7	6800
2	9	8	6500
2	9	9	1400
2	9	59	517400
2	9	NA	499500
2	10	2	6700
2	10	3	2000
2	10	4	4100
2	10	5	5600
2	10	6	2900
2	10	7	2400
2	10	8	6700
2	10	9	6400
2	10	10	1400
2	10	60	515800
2	10	NA	496800
2	11	2	4600
2	11	3	6500
2	11	4	2000
2	11	5	4100
2	11	6	5600
2	11	7	2900
2	11	8	2400
2	11	9	6500
2	11	10	6300
2	11	11	1400
2	11	61	510700
2	11	NA	490300
2	12	2	12100
2	12	3	4500
2	12	4	6500
2	12	5	2000
2	12	6	4000
2	12	7	5500
2	12	8	2900
2	12	9	2400
2	12	10	6400
2	12	11	6300
2	12	12	1300
2	12	62	506700
2	12	NA	485400
2	13	2	9300
2	13	3	12000
2	13	4	4500
2	13	5	6500
2	13	6	2000
2	13	7	3900
2	13	8	5500
2	13	9	2900
2	13	10	2400
2	13	11	6400
2	13	12	6300
2	13	13	1300
2	13	63	504300
2	13	NA	484400
2	14	2	3700
2	14	3	9300
2	14	4	12000
2	14	5	4500
2	14	6	6500
2	14	7	1900
2	14	8	3900
2	14	9	5400
2	14	10	2900
2	14	11	2400
2	14	12	6400
2	14	13	6300
2	14	14	1300
2	14	64	503300
2	14	NA	483300
2	15	2	2300
2	15	3	3700
2	15	4	9300
2	15	5	12000
2	15	6	4500
2	15	7	6500
2	15	8	1900
2	15	9	3900
2	15	10	5400
2	15	11	2900
2	15	12	2400
2	15	13	6400
2	15	14	6200
2	15	15	1300
2	15	65	502600
2	15	NA	482600
2	16	2	1500
2	16	3	2300
2	16	4	3700
2	16	5	9300
2	16	6	11900
2	16	7	4500
2	16	8	6500
2	16	9	1900
2	16	10	3900
2	16	11	5400
2	16	12	2900
2	16	13	2400
2	16	14	6400
2	16	15	6200
2	16	16	1300
2	16	66	501600
2	16	NA	481300
2	17	2	2300
2	17	3	1500
2	17	4	2300
2	17	5	3700
2	17	6	9300
2	17	7	11600
2	17	8	4500
2	17	9	6400
2	17	10	1900
2	17	11	3900
2	17	12	5400
2	17	13	2900
2	17	14	2400
2	17	15	6400
2	17	16	6200
2	17	17	1300
2	17	67	499100
2	17	NA	478100
2	18	2	6200
2	18	3	2300
2	18	4	1500
2	18	5	2300
2	18	6	3700
2	18	7	9000
2	18	8	11600
2	18	9	4300
2	18	10	6400
2	18	11	1900
2	18	12	3800
2	18	13	5200
2	18	14	2900
2	18	15	2400
2	18	16	6400
2	18	17	6200
2	18	18	1300
2	18	68	495300
2	18	NA	474300
2	19	2	8400
2	19	3	5900
2	19	4	2300
2	19	5	1500
2	19	6	2300
2	19	7	3700
2	19	8	9000
2	19	9	11400
2	19	10	4200
2	19	11	6300
2	19	12	1800
2	19	13	3800
2	19	14	5100
2	19	15	2900
2	19	16	2300
2	19	17	6300
2	19	18	6000
2	19	19	1300
2	19	69	486800
2	19	NA	466400
2	20	2	17600
2	20	3	8400
2	20	4	5900
2	20	5	2300
2	20	6	1500
2	20	7	2300
2	20	8	3700
2	20	9	9000
2	20	10	11400
2	20	11	4200
2	20	12	6300
2	20	13	1800
2	20	14	3700
2	20	15	5100
2	20	16	2900
2	20	17	2300
2	20	18	6300
2	20	19	6000
2	20	20	1200
2	20	70	485500
2	20	NA	465300
3	1	51	536100
3	1	NA	516200
3	2	2	3000
3	2	52	534900
3	2	NA	515300
3	3	2	2200
3	3	3	3000
3	3	53	531400
3	3	NA	511700
3	4	2	7000
3	4	3	2200
3	4	4	3000
3	4	54	530100
3	4	NA	511000
3	5	2	2100
3	5	3	6800
3	5	4	2200
3	5	5	3000
3	5	55	525900
3	5	NA	506100
3	6	2	9300
3	6	3	2100
3	6	4	6800
3	6	5	2200
3	6	6	3000
3	6	56	524500
3	6	NA	505800
3	7	2	1700
3	7	3	9300
3	7	4	2100
3	7	5	6800
3	7	6	2200
3	7	7	3000
3	7	57	523700
3	7	NA	505500
3	8	2	1100
3	8	3	1700
3	8	4	9300
3	8	5	2100
3	8	6	6800
3	8	7	2200
3	8	8	2900
3	8	58	521900
3	8	NA	502900
3	9	2	4500
3	9	3	1100
3	9	4	1700
3	9	5	9200
3	9	6	2100
3	9	7	6800
3	9	8	2200
3	9	9	2900
3	9	59	517800
3	9	NA	499500
3	10	2	7500
3	10	3	4500
3	10	4	1100
3	10	5	1700
3	10	6	9200
3	10	7	2100
3	10	8	6800
3	10	9	2200
3	10	10	2900
3	10	60	517300
3	10	NA	498700
3	11	2	1400
3	11	3	7500
3	11	4	4500
3	11	5	1100
3	11	6	1700
3	11	7	9200
3	11	8	2100
3	11	9	6800
3	11	10	2200
3	11	11	2900
3	11	61	516500
3	11	NA	497800
3	12	2	1700
3	12	3	1400
3	12	4	7500
3	12	5	4500
3	12	6	1100
3	12	7	1700
3	12	8	9100
3	12	9	2100
3	12	10	6700
3	12	11	2200
3	12	12	2900
3	12	62	515700
3	12	NA	496500
3	13	2	2300
3	13	3	1700
3	13	4	1400
3	13	5	7500
3	13	6	4500
3	13	7	1100
3	13	8	1700
3	13	9	9100
3	13	10	2100
3	13	11	6700
3	13	12	2200
3	13	13	2900
3	13	63	513600
3	13	NA	494500
3	14	2	3900
3	14	3	2300
3	14	4	1700
3	14	5	1400
3	14	6	7300
3	14	7	4500
3	14	8	1100
3	14	9	1700
3	14	10	9100
3	14	11	2100
3	14	12	6700
3	14	13	2200
3	14	14	2900
3	14	64	511400
3	14	NA	491500
3	15	2	5500
3	15	3	3800
3	15	4	2300
3	15	5	1700
3	15	6	1400
3	15	7	7300
3	15	8	4500
3	15	9	1100
3	15	10	1700
3	15	11	9100
3	15	12	2100
3	15	13	6700
3	15	14	2200
3	15	15	2900
3	15	65	508800
3	15	NA	489400
3	16	2	4900
3	16	3	5500
3	16	4	3800
3	16	5	2300
3	16	6	1700
3	16	7	1400
3	16	8	7300
3	16	9	4500
3	16	10	1100
3	16	11	1700
3	16	12	9100
3	16	13	2100
3	16	14	6700
3	16	15	2200
3	16	16	2900
3	16	66	508200
3	16	NA	488900
3	17	2	1100
3	17	3	4900
3	17	4	5500
3	17	5	3800
3	17	6	2300
3	17	7	1700
3	17	8	1400
3	17	9	7300
3	17	10	4500
3	17	11	1100
3	17	12	1700
3	17	13	9100
3	17	14	2100
3	17	15	6700
3	17	16	2200
3	17	17	2900
3	17	67	507600
3	17	NA	488600
3	18	2	900
3	18	3	1100
